Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit (sec),Correct answer(s)
"IT-Admins: only two approved key models, verify make and model. HR: synced passkeys in iCloud Keychain. Least effort?","Passkey profiles: strict for IT-Admins, synced for HR",One FIDO2 policy with attestation and two AAGUIDs,"Authenticator Passwordless for HR, FIDO2 for IT-Admins",Default FIDO2 plus a phishing-resistant CA policy,60,1
Finance app: users must re-enter credentials at least every 8 hours. What do you configure?,Token lifetime policy: MaxAgeMultiFactor 08:00:00,Token lifetime policy: AccessTokenLifetime 08:00:00,CA policy with Sign-in frequency 8 hours,Remember MFA on trusted devices,60,3
Megan (Helpdesk Admin) registered only security questions and can't use SSPR. Standard users can. Why?,SSPR is disabled for admins by default,"Admins use a fixed two-gate policy, no security questions",Nested groups aren't supported,Tenant must migrate to the Authentication methods policy,60,2
AVD + FSLogix on Azure Files with Entra Kerberos. Profiles stopped mounting after an MFA policy for All resources. Fix?,Exclude the storage account app from the MFA policy,Add on-prem AD DS as a second identity source,Add the kdc_enable_cloud_group_sids tag,Configure a Kerberos realm mapping,60,1
CA01 requires MFA for Finance on Payroll. Others still open Payroll freely. Only Finance may access. What do you do?,Change CA01 to include All users,"CA02: All users, exclude Finance and break-glass, Block",CA01: Require one of the selected controls,CA02 in Report-only with Block,60,2
Azure Service Management API only from PAWs (extensionAttribute1 = PAW). Unregistered devices must be blocked. Policy?,"Include filtered PAW devices, Block","Exclude filtered PAW devices, Block","Include filtered PAW devices, Require MFA","Admin Portals, Windows, Require hybrid joined",60,2
PIM-eligible Exchange Admins must use phishing-resistant MFA from a compliant device at activation only. What do you do?,PIM setting: require MFA on activation,"Auth context + CA policy, then PIM requires that context",CA policy on the Exchange Admin directory role,Protected action on the role assignment permission,60,2
"P2 tenant, password and passwordless users. High user risk must self-remediate for both. Recommended before Oct 2026?","Keep legacy user risk policy, add MFA","CA: User risk High, grant Require risk remediation","CA: User risk High, grant Require MFA","CA: User + sign-in risk High, Require password change",60,2
P1 tenant with PHS. Adele shows a Leaked credentials detection. Which action remediates the user risk?,Dismiss her user risk,Reset her password (temporary password),Require MFA at next sign-in,Revoke her sessions,30,2
ERP 10.20.5.20:443 must be Finance only with compliant device + MFA. The Quick Access policy must not change. What?,"Add it to Quick Access, add compliant device to its CA",Per-app Global Secure Access app + its own CA policy,Named location for 10.20.5.20 and block other locations,Nest Finance into the Quick Access group,60,2
